"CO_NCM";"total";"produto";"total_bilhoes"
12019000;7344346761;"Soja";7344,346761
26011100;3250566764;"Minério de Ferro";3250,566764
27090010;2130464925;"Óleos brutos de petróleo";2130,464925
17011400;779999870;"Outros açúcares de cana";779,99987
27101922;672340834;"Óleo combustível";672,340834
