"Produto";"valor_maio_21";"Variação_12m";"Variação_1m"
"Soja";"7.344";"+56,25%";"+7,84%"
"Minério de Ferro";"3.251";"+159,87%";"+5,48%"
"Óleos brutos de petróleo";"2.130";"+53,68%";"-22,93%"
"Outros açúcares de cana";"  780";"+34,02%";"+67,74%"
"Óleo combustível";"  672";"+181,17%";"+2,43%"
